reaction,DGdd_true,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom,DE,DH,DG,AR_SOMO,AR_IE,AR_EA,AR_Eneg,AR_Soft,AR_Q,AR_Fuk0,AR_BO,AR_BV3,AR_BV4,AR_BV5,AH_HOMO,AH_LUMO,AH_CP,AH_Hard,AH_Soft,AH_Ephil,AH_Q,AH_FukP,AH_FukM,AH_FukD,AH_BO,AH_BOH,AH_BOX,AH_BV3,AH_BV4,AH_BV5,BR_SOMO,BR_IE,BR_EA,BR_Eneg,BR_Soft,BR_Q,BR_Fuk0,BR_BO,BR_BV3,BR_BV4,BR_BV5,BH_HOMO,BH_LUMO,BH_CP,BH_Hard,BH_Soft,BH_Ephil,BH_Q,BH_FukP,BH_FukM,BH_FukD,BH_BO,BH_BOH,BH_BOX,BH_BV3,BH_BV4,BH_BV5
N1-A1l-H1,24.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)=O,0,CC(C)=O,0,15.682430920970598,-4.400000000000006,-4.299999999999997,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.3192,8.4221,0.4775,4.4498,0.12587166125418522,-0.13408394,-0.209,0.9919578479910786,0.364468489272944,0.21072559121097387,0.11096110182586484,-10.8143,-6.7377,-8.776,2.0382999999999996,0.49060491586125704,18.892747878133743,-0.14032190,0.052,-0.014,0.066,0.9772304261971554,0.9685445820278193,1.0032879587051637,0.3961095798569726,0.2249433616783564,0.1194932357856895
N1-A1m-H1,22.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]C(C)(C)C,0,CC(C)(C)C,0,14.000306860299107,1.0999999999999943,0.09999999999999432,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.2707,7.3459,0.3397,3.8428,0.14273072421569466,-0.11413700,-0.217,1.0124740361725884,0.46329335518474374,0.31361724908447647,0.16942267667370944,-11.5159,2.5737,-4.4711,7.0448,0.14194867136043607,1.418829151288894,-0.10889722,0.019,0.014,0.004999999999999999,0.9893332877565508,0.9862542599549752,0.9985703711612778,0.49714131406436235,0.329091924771895,0.17826621677020593
N1-A1n-H1,7.7,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]N(C)C,0,CN(C)C,0,0.8345756943097471,-8.0,-8.799999999999997,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-6.8065,5.8412,0.0428,2.9419999999999997,0.17246136865342163,-0.12482408,-0.166,1.038425992424839,0.3841347586412396,0.2412676121904289,0.12778097505597427,-9.4252,1.4661,-3.97955,5.4456500000000005,0.18363280783744823,1.4540796968681424,-0.03033777,0.024,0.068,-0.044000000000000004,0.9892561568224683,0.9797803461682418,1.0176835887851479,0.43803076579261024,0.2608621438768543,0.13790561634763962
N1-B1a-H1,18.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC,1,CCCC,1,8.400050459797137,-2.4000000000000057,-3.9000000000000057,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-7.7674,6.685,0.1384,3.4116999999999997,0.15275104634466746,-0.07656620,-0.231,1.039910252399311,0.5102614719904648,0.2678333126435355,0.14023722052284696,-11.4175,2.3875,-4.515000000000001,6.9025,0.14487504527345166,1.4766551973922497,-0.05349804,-0.039,0.012,-0.051000000000000004,0.9963519427125891,0.9786623613075283,1.01404152411765,0.5397329410011918,0.28261746632735396,0.1482273501308694
N1-B1a-H3,21.5,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC,0,CCCC,0,13.235785062440325,0.5,-0.5999999999999943,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.3132,7.2652,0.0595,3.66235,0.13877902216300983,-0.11233314,-0.216,1.0238090166446636,0.3704372765196663,0.21079541927875364,0.13012637570559113,-11.4175,2.3875,-4.515000000000001,6.9025,0.14487504527345166,1.4766551973922497,-0.10213598,-0.006,0.029,-0.035,0.9957746288529354,0.9879130614254862,1.019359331135283,0.406501415375447,0.2263166470113587,0.13818745861057677
N1-B1b-H1,23.8,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]C#N,2,CCCC#N,2,-2.9665790066368003,-7.400000000000006,-8.700000000000003,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.6749,8.3625,1.6574,5.00995,0.14914020670832648,-0.03414732,-0.169,1.1067825799666209,0.48094830154946366,0.2695634969896344,0.14124830500457256,-11.4935,-5.5619,-8.5277,2.9657999999999998,0.33717715287612116,12.260042364623372,-0.05418469,0.019,0.003,0.016,0.980816891792376,0.9452111806853838,1.0164226028993681,0.5099169398092968,0.28424290857178325,0.1492029579641134
N1-B1b-H2,21.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CC#N,1,CCCC#N,1,7.115885383039565,-1.2000000000000028,-2.700000000000003,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.6673,7.3545,0.7837,4.0691,0.15218847020149753,-0.05740278,-0.189,1.0296200432253018,0.5057825536352801,0.2617233567128049,0.1410157358645265,-11.4935,-5.5619,-8.5277,2.9657999999999998,0.33717715287612116,12.260042364623372,-0.04366243,-0.006,0.007,-0.013000000000000001,0.988625057662712,0.9789172286613353,0.9983328866640888,0.5288196513706794,0.273314815964248,0.14902360379678975
N1-B1b-H3,23.4,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCC#N,0,CCCC#N,0,13.467315782304112,1.2999999999999972,0.09999999999999432,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.0398,7.8837,0.6058,4.24475,0.13740227263358937,-0.10699220,-0.181,1.0247515566951215,0.3705676400476758,0.20925920178759855,0.12456639651855823,-11.4935,-5.5619,-8.5277,2.9657999999999998,0.33717715287612116,12.260042364623372,-0.10415461,0.022,0.021,0.0009999999999999974,0.9948355991571385,0.9868258765815124,1.0188647668840165,0.406501415375447,0.2247959468685991,0.13249739837911134
N1-B1c-H1,11.2,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH]N,2,CCCN,2,-1.3564026716569353,-9.0,-9.700000000000003,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-6.883,5.797,-0.0723,2.8623499999999997,0.17037806893496668,-0.05741708,-0.201,1.0524341354978954,0.47336859356376637,0.24683446092731673,0.12953706915581345,-9.871,1.2203,-4.32535,5.54565,0.18032151325813925,1.6867862759550278,0.02462244,-0.002,0.041,-0.043000000000000003,0.9934514566847443,0.9725280488270331,1.0143748645424555,0.5099262514898689,0.26372121531872633,0.13847127179842958
N1-B1c-H2,18.9,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]CN,1,CCCN,1,8.597598008400897,-2.200000000000003,-3.5,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-7.8566,6.5354,-0.0281,3.25365,0.15235773596404356,-0.08066687,-0.217,1.0386727127048971,0.5003724672228844,0.25157889019924273,0.13084182144997003,-9.871,1.2203,-4.32535,5.54565,0.18032151325813925,1.6867862759550278,-0.05957886,-0.016,0.011,-0.027,0.9950610090678811,0.9777075327249418,1.0124144854108204,0.53023502681764,0.2667897709639377,0.13874523036170414
N1-B1c-H3,21.6,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CCN,0,CCCN,0,13.18592955184797,0.29999999999999716,-0.5,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-8.3637,7.1477,0.067,3.6073500000000003,0.1412289745364159,-0.11403383,-0.206,1.0246911176682287,0.36981339392133494,0.20807988330954005,0.12390219482198606,-9.871,1.2203,-4.32535,5.54565,0.18032151325813925,1.6867862759550278,-0.10393440,-0.007,0.028,-0.035,0.9956290291781518,0.9876654702151462,1.0195197060671688,0.40619412991656734,0.22447008255229348,0.13245403803096717
N1-B1d-H1,25.7,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC[CH][N+](=O)[O-],2,CCC[N+](=O)[O-],2,-3.489767133597962,-5.599999999999994,-5.599999999999994,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-10.8793,9.076,2.8086,5.9423,0.1595557966620927,-0.02111680,-0.113,1.0796035953643521,0.5202156585220501,0.2888670783936441,0.15096299391378387,-12.0354,-8.419,-10.2272,1.8081999999999994,0.5530361685654244,28.92258042251964,-0.06963674,0.048,0.005,0.043000000000000003,0.9595567084866067,0.966968108405645,0.9521453085675684,0.5499664779499404,0.30563357333498853,0.15987354545741225
N1-B1d-H2,22.6,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,C[CH]C[N+](=O)[O-],1,CCC[N+](=O)[O-],1,2.5311609372191004,-2.299999999999997,-3.4000000000000057,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.4714,7.4553,1.4108,4.43305,0.16543965588551576,-0.04084421,-0.133,1.0535902726367785,0.5283726907032181,0.28720672211532494,0.1514754343918514,-12.0354,-8.419,-10.2272,1.8081999999999994,0.5530361685654244,28.92258042251964,-0.05301850,0.003,0.007,-0.004,0.9863261467885085,0.9761521897277989,0.996500103849218,0.544407404648391,0.29749472410154554,0.16025984674087856
N1-B1d-H3,23.0,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,3,[CH2]CC[N+](=O)[O-],0,CCC[N+](=O)[O-],0,13.041358875835451,1.2000000000000028,0.09999999999999432,-11.8813,9.041,4.2828,6.6619,0.21016350720860827,-0.15208642,-0.128,1.3291397108776346,0.5695023837902264,0.39043976165352867,0.2429894200750528,-12.0499,-8.6344,-10.34215,1.7077499999999999,0.5855658029571074,31.316078648074956,-0.14672516,-0.024,-0.062,0.038,1.0511800493179824,0.922996123264104,1.1152720123449216,0.5933682210965435,0.4012747501706908,0.24871495695499984,-9.6454,8.0412,1.3913,4.71625,0.15037820117595754,-0.09637401,-0.145,1.026585783776939,0.37130326281287246,0.21389113028365714,0.135658761943805,-12.0354,-8.419,-10.2272,1.8081999999999994,0.5530361685654244,28.92258042251964,-0.11071029,0.018,0.013,0.004999999999999999,0.9932009254755608,0.9856961906695645,1.0157151298935498,0.40590546781883197,0.22855502451741047,0.14315616032291634
